,vacancy,salary,link,site
58,Middle+ / Senior Data Engineer,от 200 000 руб.,https://hh.ru/vacancy/69475611?query=data+engineer,hh.ru
59,Data Engineer (Инженер данных),ЗП не указана,https://hh.ru/vacancy/73777591?query=data+engineer,hh.ru
60,Data Engineer,ЗП не указана,https://hh.ru/vacancy/73888449?query=data+engineer,hh.ru
61,Data Scientist to Armenia,до 5 600 USD,https://hh.ru/vacancy/73824367?query=data+engineer,hh.ru
62,Data Engineer в HR Tech,ЗП не указана,https://hh.ru/vacancy/71292739?query=data+engineer,hh.ru
63,Data Engineer middle+,ЗП не указана,https://hh.ru/vacancy/73511648?query=data+engineer,hh.ru
64,Engineer data,ЗП не указана,https://hh.ru/vacancy/73146403?query=data+engineer,hh.ru
65,Data Analyst,ЗП не указана,https://hh.ru/vacancy/73043533?query=data+engineer,hh.ru
66,Data Engineer middle / senior,ЗП не указана,https://hh.ru/vacancy/73249690?query=data+engineer,hh.ru
67,Data Insight Analytics Expert,ЗП не указана,https://hh.ru/vacancy/73999946?query=data+engineer,hh.ru
68,Data engineer / Ведущий Аналитик,200 000 – 300 000 руб.,https://hh.ru/vacancy/69279729?query=data+engineer,hh.ru
69,Data Engineer junior +,ЗП не указана,https://hh.ru/vacancy/73851608?query=data+engineer,hh.ru
70,Data Analyst (English),ЗП не указана,https://hh.ru/vacancy/73814342?query=data+engineer,hh.ru
71,Data Engineer,от 200 000 руб.,https://hh.ru/vacancy/72312345?query=data+engineer,hh.ru
72,QA инженер в BigData,ЗП не указана,https://hh.ru/vacancy/73982301?query=data+engineer,hh.ru
73,Data инженер,ЗП не указана,https://hh.ru/vacancy/73828825?query=data+engineer,hh.ru
74,Data Scientist (Северсталь Диджитал),ЗП не указана,https://hh.ru/vacancy/73407773?query=data+engineer,hh.ru
75,Data engineer,ЗП не указана,https://hh.ru/vacancy/72679130?query=data+engineer,hh.ru
76,Team Lead Data Engineer (Big Data),ЗП не указана,https://hh.ru/vacancy/73998234?query=data+engineer,hh.ru
77,Middle Data / ML Engineer (Персонализация),ЗП не указана,https://hh.ru/vacancy/45498560?query=data+engineer,hh.ru
