,vacancy,salary,link,site
44,Ведущий аналитик данных / Data Scientist в направление R&D,230 000 – 300 000 ₽,https://hh.ru/vacancy/91477269?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
45,Data Scientist,ЗП не указана,https://hh.ru/vacancy/89195334?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
46,Data scientist Middle\Senior (кредитный скоринг),ЗП не указана,https://hh.ru/vacancy/91349936?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
47,Data Scientist,ЗП не указана,https://hh.ru/vacancy/92191377?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
48,Data Scientist (Middle+) в промышленности,ЗП не указана,https://hh.ru/vacancy/91125361?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
49,Middle Data scientist (Аудио аналитика),ЗП не указана,https://hh.ru/vacancy/91942290?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
50,Senior Data Scientist (Computer Vision),до 350 000 ₽,https://hh.ru/vacancy/92261911?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
51,Data Scientist / ML-инженер (Big Data),ЗП не указана,https://hh.ru/vacancy/92248678?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
52,Data Scientist,ЗП не указана,https://hh.ru/vacancy/92216009?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
53,Data Scientist,ЗП не указана,https://hh.ru/vacancy/92140555?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
54,Data scientist в поиск Маркета,ЗП не указана,https://hh.ru/vacancy/92279522?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
55,Middle+ Data Scientist NLP GigaChat,ЗП не указана,https://hh.ru/vacancy/92363256?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
56,Разработчик-исследователь / Data Scientist в Data Office,ЗП не указана,https://hh.ru/vacancy/91920877?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
57,Data Scientist (middle),ЗП не указана,https://hh.ru/vacancy/92132624?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
58,Data Scientist,ЗП не указана,https://hh.ru/vacancy/92110580?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
59,Data Scientist,ЗП не указана,https://hh.ru/vacancy/90735443?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
60,Lead data scientist (Анализ цены и Trade in),ЗП не указана,https://hh.ru/vacancy/87899403?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
61,Senior Data Scientist,от 300 000 ₽,https://hh.ru/vacancy/89393878?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
62,Data scientist / Аналитик риск-моделей,120 000 – 300 000 ₽,https://hh.ru/vacancy/92069098?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
63,Data scientist (ML),ЗП не указана,https://hh.ru/vacancy/92134457?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
64,Эконометрист / Data scientist,ЗП не указана,https://hh.ru/vacancy/90553763?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
65,Data Scientist (NLP AI),ЗП не указана,https://hh.ru/vacancy/91113478?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
66,Middle+ Data Scientist NLP GigaChat,ЗП не указана,https://hh.ru/vacancy/92363452?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
67,Senior Data Scientist,ЗП не указана,https://hh.ru/vacancy/92417579?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
68,Senior Data Scientist (computer vision),ЗП не указана,https://hh.ru/vacancy/91933927?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
69,Middle Data Scientist в SberData,ЗП не указана,https://hh.ru/vacancy/92181808?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
70,Senior Data Scientist (Прогноз заказов),ЗП не указана,https://hh.ru/vacancy/92211891?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
71,Data Scientist (главный исследователь данных по КАСКО),ЗП не указана,https://hh.ru/vacancy/92139066?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
72,Data Scientist NLP,ЗП не указана,https://hh.ru/vacancy/92037404?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
73,Data Scientist (ML),4 000 – 4 500 $,https://hh.ru/vacancy/91901958?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
74,Data Scientist / Валидация,ЗП не указана,https://hh.ru/vacancy/92213477?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
75,Data scientist (Управление скоринга и Биг Дата),ЗП не указана,https://hh.ru/vacancy/89203591?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
76,Senior Data Scientist/Team Lead,ЗП не указана,https://hh.ru/vacancy/90637679?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
77,Senior Data scientist,ЗП не указана,https://hh.ru/vacancy/91540924?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
